Date;Open;High;Low;Close;Adj Close;Volume;vol2
02/01/2019;15.400.000;16.299.999;15.400.000;16.150.000;15.736.688;18692900;18,6929
03/01/2019;16.010.000;16.330.000;15.890.000;16.330.000;15.912.081;22739200;22,7392
04/01/2019;16.299.999;16.690.001;16.030.001;16.549.999;16.126.450;27484600;27,4846
07/01/2019;16.570.000;16.629.999;16.340.000;16.480.000;16.058.243;17084500;17,0845
08/01/2019;16.540.001;16.700.001;16.090.000;16.150.000;15.736.688;22108700;22,1087
09/01/2019;16.200.001;16.540.001;16.110.001;16.379.999;15.960.801;16479100;16,4791
10/01/2019;16.400.000;17.000.000;16.280.001;16.850.000;16.418.774;23347300;23,3473
11/01/2019;17.020.000;17.290.001;16.879.999;17.290.001;16.847.513;73632000;73,632
14/01/2019;17.240.000;17.660.000;17.100.000;17.540.001;17.091.116;31707300;31,7073
15/01/2019;17.570.000;17.790.001;17.299.999;17.700.001;17.247.021;35536600;35,5366
16/01/2019;17.700.001;17.840.000;17.559.999;17.799.999;17.344.460;19990600;19,9906
17/01/2019;17.680.000;17.910.000;17.480.000;17.850.000;17.393.181;22422400;22,4224
18/01/2019;17.900.000;18.000.000;17.620.001;18.000.000;17.539.343;21264700;21,2647
21/01/2019;17.930.000;18.000.000;17.639.999;18.000.000;17.539.343;9103600;9,1036
22/01/2019;17.889.999;18.080.000;17.410.000;17.540.001;17.091.116;22633800;22,6338
23/01/2019;17.600.000;17.620.001;17.080.000;17.180.000;16.740.328;26855900;26,8559
24/01/2019;17.200.001;17.299.999;16.950.001;17.160.000;16.720.840;24197500;24,1975
28/01/2019;17.100.000;18.000.000;17.090.000;17.950.001;17.490.623;32754800;32,7548
29/01/2019;18.020.000;18.200.001;17.680.000;17.870.001;17.412.670;30181400;30,1814
30/01/2019;17.969.999;18.200.001;17.629.999;17.969.999;17.510.109;19243300;19,2433
31/01/2019;18.000.000;18.100.000;17.510.000;17.510.000;17.061.882;22631500;22,6315
01/02/2019;17.540.001;18.110.001;17.530.001;18.110.001;17.646.528;19948900;19,9489
04/02/2019;18.070.000;18.480.000;17.900.000;18.450.001;17.977.827;23329600;23,3296
05/02/2019;18.379.999;18.910.000;18.330.000;18.639.999;18.162.962;23156300;23,1563
06/02/2019;18.440.001;18.660.000;18.090.000;18.090.000;17.627.039;22891100;22,8911
07/02/2019;18.190.001;18.870.001;18.190.001;18.750.000;18.270.149;41426700;41,4267
08/02/2019;18.650.000;18.980.000;18.129.999;18.219.999;17.753.712;38093500;38,0935
11/02/2019;18.250.000;18.740.000;18.110.001;18.709.999;18.231.171;29145400;29,1454
12/02/2019;18.780.001;19.049.999;18.600.000;18.670.000;18.192.196;23990500;23,9905
13/02/2019;18.860.001;18.860.001;18.299.999;18.389.999;17.919.361;32536700;32,5367
14/02/2019;18.360.001;18.670.000;18.110.001;18.590.000;18.114.243;20335700;20,3357
15/02/2019;18.580.000;18.740.000;18.400.000;18.490.000;18.016.802;14836400;14,8364
18/02/2019;18.500.000;18.510.000;18.090.000;18.190.001;17.724.480;14494400;14,4944
19/02/2019;18.190.001;18.570.000;18.160.000;18.320.000;17.851.152;16276800;16,2768
20/02/2019;18.309.999;18.540.001;18.139.999;18.150.000;17.685.503;22077800;22,0778
21/02/2019;18.240.000;18.410.000;18.150.000;18.320.000;17.851.152;15038500;15,0385
22/02/2019;18.240.000;18.320.000;18.010.000;18.320.000;17.851.152;22170000;22,17
25/02/2019;18.299.999;18.450.001;18.250.000;18.389.999;17.919.361;9837900;9,8379
26/02/2019;18.420.000;18.580.000;18.299.999;18.490.000;18.016.802;12685600;12,6856
27/02/2019;18.430.000;18.520.000;18.270.000;18.360.001;17.890.129;16915100;16,9151
28/02/2019;18.139.999;18.150.000;17.170.000;17.230.000;16.789.047;49931300;49,9313
01/03/2019;17.139.999;17.230.000;16.610.001;16.760.000;16.331.078;37227300;37,2273
06/03/2019;null;null;null;null;null;null;#VALOR!
07/03/2019;16.370.001;16.850.000;16.309.999;16.690.001;16.262.869;20143000;20,143
08/03/2019;16.590.000;16.700.001;16.400.000;16.590.000;16.165.428;20486300;20,4863
11/03/2019;16.690.001;17.260.000;16.620.001;17.110.001;16.672.119;24113400;24,1134
12/03/2019;17.200.001;17.330.000;16.879.999;17.000.000;16.564.934;19858900;19,8589
13/03/2019;16.980.000;17.040.001;16.740.000;16.900.000;16.467.493;20265200;20,2652
14/03/2019;16.920.000;16.920.000;16.570.000;16.660.000;16.233.635;20534200;20,5342
15/03/2019;16.660.000;16.790.001;16.490.000;16.760.000;16.331.078;31836900;31,8369
18/03/2019;16.799.999;17.520.000;16.780.001;17.309.999;16.867.001;31559300;31,5593
19/03/2019;17.270.000;17.420.000;17.170.000;17.190.001;16.750.072;16625600;16,6256
20/03/2019;17.160.000;17.299.999;17.000.000;17.000.000;16.564.934;18926100;18,9261
21/03/2019;16.889.999;17.270.000;16.680.000;16.980.000;16.545.446;35961000;35,961
22/03/2019;16.700.001;16.900.000;16.520.000;16.719.999;16.292.099;33908300;33,9083
25/03/2019;16.650.000;16.780.001;16.430.000;16.520.000;16.097.219;17569800;17,5698
26/03/2019;16.639.999;17.160.000;16.299.999;16.990.000;16.555.191;30804300;30,8043
27/03/2019;16.799.999;16.959.999;16.450.001;16.540.001;16.116.707;32628900;32,6289
28/03/2019;16.540.001;16.940.001;16.480.000;16.750.000;16.321.333;21093200;21,0932
29/03/2019;16.870.001;16.969.999;16.700.001;16.830.000;16.399.284;15839700;15,8397
01/04/2019;16.870.001;17.000.000;16.740.000;16.820.000;16.389.542;12340900;12,3409
02/04/2019;17.000.000;17.129.999;16.719.999;16.770.000;16.340.820;15431100;15,4311
03/04/2019;16.870.001;17.120.001;16.790.001;16.840.000;16.409.029;14753700;14,7537
04/04/2019;16.950.001;17.400.000;16.889.999;17.320.000;16.876.745;15281900;15,2819
05/04/2019;17.370.001;17.650.000;17.350.000;17.440.001;16.993.675;16184700;16,1847
08/04/2019;17.440.001;17.480.000;17.160.000;17.350.000;16.905.977;10742400;10,7424
09/04/2019;17.209.999;17.690.001;17.209.999;17.690.001;17.237.276;25773700;25,7737
10/04/2019;17.700.001;17.760.000;17.379.999;17.549.999;17.100.859;20199100;20,1991
11/04/2019;17.510.000;17.639.999;17.209.999;17.250.000;16.808.537;15229900;15,2299
12/04/2019;17.059.999;17.500.000;17.000.000;17.059.999;16.623.398;29774300;29,7743
15/04/2019;17.200.001;17.420.000;17.090.000;17.420.000;16.974.186;18868300;18,8683
16/04/2019;17.379.999;17.670.000;17.340.000;17.530.001;17.081.371;13454300;13,4543
