Date,Open,High,Low,Close,Adj Close,Volume,vol2
02/01/2019,11.58,12.04,11.38,12.04,12.03,6698300,6.6983
03/01/2019,11.85,12.23,11.84,12.23,12.22,5929300,5.9293
04/01/2019,12.07,12.89,11.99,12.55,12.54,7603800,7.6038
07/01/2019,12.57,12.67,12.02,12.11,12.10,6502600,6.5026
08/01/2019,12.20,12.35,12.04,12.30,12.29,7232300,7.2323
09/01/2019,12.22,12.55,12.12,12.20,12.19,6219300,6.2193
10/01/2019,12.27,12.32,11.93,12.16,12.15,6015600,6.0156
11/01/2019,12.25,12.51,12.23,12.48,12.47,4865900,4.8659
14/01/2019,12.58,12.71,12.50,12.69,12.68,4093200,4.0932
15/01/2019,12.62,12.78,12.48,12.62,12.61,4405200,4.4052
16/01/2019,12.66,13.15,12.58,13.15,13.14,5622000,5.622
17/01/2019,13.12,13.50,12.84,13.40,13.39,5836200,5.8362
18/01/2019,13.36,13.81,13.26,13.53,13.52,6277000,6.277
21/01/2019,13.42,13.72,13.20,13.70,13.69,4815100,4.8151
22/01/2019,13.92,14.13,13.37,13.60,13.59,6795200,6.7952
23/01/2019,13.69,14.10,13.63,14.08,14.07,4210000,4.21
24/01/2019,14.12,14.47,13.97,14.47,14.46,5532500,5.5325
28/01/2019,14.18,14.80,14.08,14.80,14.79,5087000,5.087
29/01/2019,14.81,14.88,14.58,14.70,14.69,4841400,4.8414
30/01/2019,14.73,15.65,14.68,15.30,15.29,8933400,8.9334
31/01/2019,15.31,15.78,15.09,15.09,15.08,10684700,10.6847
01/02/2019,15.06,15.42,14.85,14.87,14.86,7822500,7.8225
04/02/2019,14.87,15.09,14.62,15.02,15.01,5462800,5.4628
05/02/2019,15.11,15.23,14.90,14.98,14.97,6055400,6.0554
06/02/2019,14.80,14.92,14.03,14.03,14.02,8758400,8.7584
07/02/2019,14.17,14.58,14.00,14.33,14.32,20031000,20.031
08/02/2019,14.22,14.42,13.95,14.25,14.24,8533600,8.5336
11/02/2019,14.29,14.48,14.13,14.35,14.34,4815600,4.8156
12/02/2019,14.47,14.69,14.46,14.55,14.54,4971500,4.9715
13/02/2019,14.72,14.77,13.90,14.38,14.37,42560400,42.5604
14/02/2019,14.47,14.55,14.19,14.50,14.49,5375000,5.375
15/02/2019,14.54,15.00,14.46,14.82,14.81,6976500,6.9765
18/02/2019,14.90,15.09,14.67,15.00,14.99,4068600,4.0686
19/02/2019,14.97,14.97,14.55,14.79,14.78,6780700,6.7807
20/02/2019,14.85,14.87,14.23,14.23,14.22,6828600,6.8286
21/02/2019,14.38,14.52,13.77,13.92,13.91,9761400,9.7614
22/02/2019,14.07,14.21,13.80,14.21,14.20,4803400,4.8034
25/02/2019,14.24,14.29,13.75,13.97,13.96,5062400,5.0624
26/02/2019,14.00,14.03,13.68,13.70,13.69,3911000,3.911
27/02/2019,13.69,13.76,13.48,13.76,13.75,3851200,3.8512
28/02/2019,13.76,13.87,13.43,13.43,13.42,5634000,5.634
01/03/2019,13.47,14.13,13.44,14.12,14.11,7399800,7.3998
07/03/2019,13.41,13.54,12.86,13.07,13.06,8904400,8.9044
08/03/2019,13.05,13.22,12.80,13.15,13.14,7451400,7.4514
11/03/2019,13.15,13.49,13.09,13.25,13.24,11507400,11.5074
12/03/2019,13.37,13.74,13.34,13.70,13.69,9911900,9.9119
13/03/2019,13.80,14.12,13.75,14.12,14.11,14111500,14.1115
14/03/2019,14.10,14.45,14.00,14.40,14.39,7758900,7.7589
15/03/2019,14.16,15.01,14.16,14.85,14.84,22660100,22.6601
18/03/2019,14.99,15.55,14.85,15.55,15.54,10391100,10.3911
19/03/2019,15.56,15.60,14.99,14.99,14.98,7558700,7.5587
20/03/2019,14.98,15.29,14.70,14.98,14.97,8351000,8.351
21/03/2019,14.82,14.88,14.16,14.65,14.64,7877500,7.8775
22/03/2019,14.35,14.75,14.11,14.29,14.28,8572700,8.5727
25/03/2019,14.07,14.75,13.98,14.44,14.43,4980300,4.9803
26/03/2019,14.71,15.38,14.25,15.12,15.11,9606400,9.6064
27/03/2019,14.84,14.89,14.46,14.62,14.61,9796800,9.7968
28/03/2019,14.68,15.55,14.63,15.47,15.46,10544300,10.5443
29/03/2019,15.60,16.20,15.25,15.92,15.91,12982700,12.9827
01/04/2019,16.11,16.29,15.66,16.23,16.22,6655200,6.6552
02/04/2019,16.02,16.19,15.75,15.86,15.85,5924600,5.9246
03/04/2019,15.91,15.98,15.40,15.60,15.59,8434000,8.434
04/04/2019,15.62,15.93,15.57,15.78,15.77,7584000,7.584
05/04/2019,15.91,16.71,15.90,16.60,16.59,15429600,15.4296
08/04/2019,16.53,17.25,16.43,17.25,17.24,11473000,11.473
09/04/2019,17.05,17.17,16.87,16.90,16.89,11203600,11.2036
10/04/2019,17.08,17.17,16.60,17.11,17.10,11337500,11.3375
11/04/2019,17.15,17.29,16.75,16.88,16.88,8913500,8.9135
12/04/2019,16.71,17.77,16.61,17.63,17.63,15241500,15.2415
15/04/2019,17.53,18.05,17.34,17.93,17.92,8000000,8
16/04/2019,18.20,19.98,18.20,19.45,19.44,20858700,20.8587
17/04/2019,19.66,19.90,18.79,19.10,19.09,20978800,20.9788
18/04/2019,19.10,19.35,18.24,18.24,18.23,15104600,15.1046
22/04/2019,18.20,19.37,18.11,18.99,18.98,11825200,11.8252
23/04/2019,19.29,20.08,19.23,19.71,19.71,14601000,14.601
24/04/2019,19.77,19.98,18.96,19.02,19.01,13079300,13.0793
25/04/2019,19.02,20.49,18.94,20.49,20.48,28766800,28.7668
26/04/2019,20.18,20.33,19.04,19.32,19.31,19670500,19.6705
29/04/2019,19.49,19.79,19.25,19.35,19.34,7860900,7.8609
30/04/2019,19.54,19.77,19.37,19.77,19.76,8928200,8.9282
02/05/2019,19.50,19.70,19.20,19.52,19.52,28708000,28.708
03/05/2019,19.70,20.74,19.60,20.52,20.52,12282000,12.282
06/05/2019,20.00,20.58,19.94,20.29,20.29,9111900,9.1119
07/05/2019,20.26,20.29,19.70,19.77,19.77,9712900,9.7129
08/05/2019,19.96,20.21,19.62,20.16,20.16,11300500,11.3005
