2019,Cov_Vale,Cov_JBS,Cov_Amb,Cov_Itau
0.1,0.132695238,0.233855782,0.105353741,0.083536735
0.2,1.051196,-0.067683,-0.081676,-0.090565
0.3,0.659651852,0.407542593,0.114624074,0.261912963
0.4,0.270028118,-0.60146644,-0.021021315,0.388758957
0.5,0.420509091,-0.488478926,0.213031818,0.237339876
0.6,0.767387037,-0.105609259,0.173394444,0.30997037
0.7,0.487535744,-0.128909091,-0.373586364,0.189654339
0.8,1.049736961,-0.374812245,0.486903855,0.632805215
0.9,0.487042177,0.445908617,0.197238095,0.388595238
0.10,0.939143478,-0.9286,-0.523465217,1.720343478
0.11,0.006447368,0.107596953,-0.054414404,0.275020222
0.12,0.38361385,-0.237754571,0.128928532,0.189106648
