Date,Open,High,Low,Close,Adj Close,Volume,vol2
02/01/2019,15.40,16.29,15.40,16.15,15.73,18692900,18.6929
03/01/2019,16.01,16.33,15.89,16.33,15.91,22739200,22.7392
04/01/2019,16.29,16.69,16.03,16.54,16.12,27484600,27.4846
07/01/2019,16.57,16.62,16.34,16.48,16.05,17084500,17.0845
08/01/2019,16.54,16.70,16.09,16.15,15.73,22108700,22.1087
09/01/2019,16.20,16.54,16.11,16.37,15.96,16479100,16.4791
10/01/2019,16.40,17.00,16.28,16.85,16.41,23347300,23.3473
11/01/2019,17.02,17.29,16.87,17.29,16.84,73632000,73.632
14/01/2019,17.24,17.66,17.10,17.54,17.09,31707300,31.7073
15/01/2019,17.57,17.79,17.29,17.70,17.24,35536600,35.5366
16/01/2019,17.70,17.84,17.55,17.79,17.34,19990600,19.9906
17/01/2019,17.68,17.91,17.48,17.85,17.39,22422400,22.4224
18/01/2019,17.90,18.00,17.62,18.00,17.53,21264700,21.2647
21/01/2019,17.93,18.00,17.63,18.00,17.53,9103600,9.1036
22/01/2019,17.88,18.08,17.41,17.54,17.09,22633800,22.6338
23/01/2019,17.60,17.62,17.08,17.18,16.74,26855900,26.8559
24/01/2019,17.20,17.29,16.95,17.16,16.72,24197500,24.1975
28/01/2019,17.10,18.00,17.09,17.95,17.49,32754800,32.7548
29/01/2019,18.02,18.20,17.68,17.87,17.41,30181400,30.1814
30/01/2019,17.96,18.20,17.62,17.96,17.51,19243300,19.2433
31/01/2019,18.00,18.10,17.51,17.51,17.06,22631500,22.6315
01/02/2019,17.54,18.11,17.53,18.11,17.64,19948900,19.9489
04/02/2019,18.07,18.48,17.90,18.45,17.97,23329600,23.3296
05/02/2019,18.37,18.91,18.33,18.63,18.16,23156300,23.1563
06/02/2019,18.44,18.66,18.09,18.09,17.62,22891100,22.8911
07/02/2019,18.19,18.87,18.19,18.75,18.27,41426700,41.4267
08/02/2019,18.65,18.98,18.12,18.21,17.75,38093500,38.0935
11/02/2019,18.25,18.74,18.11,18.70,18.23,29145400,29.1454
12/02/2019,18.78,19.04,18.60,18.67,18.19,23990500,23.9905
13/02/2019,18.86,18.86,18.29,18.38,17.91,32536700,32.5367
14/02/2019,18.36,18.67,18.11,18.59,18.11,20335700,20.3357
15/02/2019,18.58,18.74,18.40,18.49,18.01,14836400,14.8364
18/02/2019,18.50,18.51,18.09,18.19,17.72,14494400,14.4944
19/02/2019,18.19,18.57,18.16,18.32,17.85,16276800,16.2768
20/02/2019,18.30,18.54,18.13,18.15,17.68,22077800,22.0778
21/02/2019,18.24,18.41,18.15,18.32,17.85,15038500,15.0385
22/02/2019,18.24,18.32,18.01,18.32,17.85,22170000,22.17
25/02/2019,18.29,18.45,18.25,18.38,17.91,9837900,9.8379
26/02/2019,18.42,18.58,18.29,18.49,18.01,12685600,12.6856
27/02/2019,18.43,18.52,18.27,18.36,17.89,16915100,16.9151
28/02/2019,18.13,18.15,17.17,17.23,16.78,49931300,49.9313
01/03/2019,17.13,17.23,16.61,16.76,16.33,37227300,37.2273
07/03/2019,16.37,16.85,16.30,16.69,16.26,20143000,20.143
08/03/2019,16.59,16.70,16.40,16.59,16.16,20486300,20.4863
11/03/2019,16.69,17.26,16.62,17.11,16.67,24113400,24.1134
12/03/2019,17.20,17.33,16.87,17.00,16.56,19858900,19.8589
13/03/2019,16.98,17.04,16.74,16.90,16.46,20265200,20.2652
14/03/2019,16.92,16.92,16.57,16.66,16.23,20534200,20.5342
15/03/2019,16.66,16.79,16.49,16.76,16.33,31836900,31.8369
18/03/2019,16.79,17.52,16.78,17.30,16.86,31559300,31.5593
19/03/2019,17.27,17.42,17.17,17.19,16.75,16625600,16.6256
20/03/2019,17.16,17.29,17.00,17.00,16.56,18926100,18.9261
21/03/2019,16.88,17.27,16.68,16.98,16.54,35961000,35.961
22/03/2019,16.70,16.90,16.52,16.71,16.29,33908300,33.9083
25/03/2019,16.65,16.78,16.43,16.52,16.09,17569800,17.5698
26/03/2019,16.63,17.16,16.29,16.99,16.55,30804300,30.8043
27/03/2019,16.79,16.95,16.45,16.54,16.11,32628900,32.6289
28/03/2019,16.54,16.94,16.48,16.75,16.32,21093200,21.0932
29/03/2019,16.87,16.96,16.70,16.83,16.39,15839700,15.8397
01/04/2019,16.87,17.00,16.74,16.82,16.38,12340900,12.3409
02/04/2019,17.00,17.12,16.71,16.77,16.34,15431100,15.4311
03/04/2019,16.87,17.12,16.79,16.84,16.40,14753700,14.7537
04/04/2019,16.95,17.40,16.88,17.32,16.87,15281900,15.2819
05/04/2019,17.37,17.65,17.35,17.44,16.99,16184700,16.1847
08/04/2019,17.44,17.48,17.16,17.35,16.90,10742400,10.7424
09/04/2019,17.20,17.69,17.20,17.69,17.23,25773700,25.7737
10/04/2019,17.70,17.76,17.37,17.54,17.10,20199100,20.1991
11/04/2019,17.51,17.63,17.20,17.25,16.80,15229900,15.2299
12/04/2019,17.05,17.50,17.00,17.05,16.62,29774300,29.7743
15/04/2019,17.20,17.42,17.09,17.42,16.97,18868300,18.8683
16/04/2019,17.37,17.67,17.34,17.53,17.08,13454300,13.4543
17/04/2019,17.69,17.69,16.95,17.04,16.61,31512000,31.512
18/04/2019,17.20,17.20,16.86,17.08,16.64,21532200,21.5322
22/04/2019,17.08,17.55,16.94,17.50,17.05,19577100,19.5771
23/04/2019,17.55,17.93,17.54,17.67,17.21,13912000,13.912
24/04/2019,17.70,17.78,17.33,17.71,17.26,21919500,21.9195
25/04/2019,17.62,18.33,17.60,18.30,17.84,29435300,29.4353
26/04/2019,18.20,18.37,18.04,18.29,17.82,14151100,14.1511
