,Unnamed: 0,Unnamed: 0.1,country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num,Name,Country,Code,1990,2000,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,world
0,0,0,Afghanistan,Asia,2007,43.828,31889923,974.5803384,AFG,4,GDP,Afghanistan,AFG,,,15856574731.4411,17804280538.1102,20001615788.6719,20561054090.3995,20484873230.2111,19907111418.9938,19362642266.6484,20191764940.1602,19362969582.3643,,world
1,1,1,Albania,Europe,2007,76.423,3600523,5937.0295259999975,ALB,8,GDP,Albania,ALB,2028553750.0,3480355188.6006303,11926962834.9645,12890867535.5568,12319784701.3346,12776277648.9159,13228244336.3241,11386927679.0875,11861353752.0672,13025064966.5784,15102500898.238,,world
2,2,2,Algeria,Africa,2007,72.301,33333216,6223.367465,DZA,12,GDP,Algeria,DZA,62045099642.7774,54786074940.2073,161205065469.309,200015355528.47,209062886917.045,209754763860.68,213808808746.696,165978425168.386,160032930353.764,167390266100.763,173757952824.25,,world
3,3,3,Angola,Africa,2007,42.731,12420476,4797.231267,AGO,24,GDP,Angola,AGO,11228764963.1618,9129594818.60749,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.591,105750987618.63,,world
4,4,4,Argentina,Americas,2007,75.32,40301927,12779.379640000001,ARG,32,GDP,Argentina,ARG,141352368714.691,284203750000.0,423627422092.49,530163281574.65796,545982375701.128,552025140252.246,526319673731.6379,594749285413.212,557531376217.967,642695864756.35,519871519807.795,,world
5,5,5,Australia,Oceania,2007,81.235,20434176,34435.367439999995,AUS,36,GDP,Australia,AUS,310777222008.465,415222633925.76794,1146138465603.81,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351693984524.5,1208846993739.99,1330135756844.41,1433904348500.12,,world
6,6,6,Austria,Europe,2007,79.829,8199783,36126.4927,AUT,40,GDP,Austria,AUT,166463386663.439,196799778883.36105,391892746544.69,431120310088.82,409425234155.2629,430068712971.867,441996131736.508,381817565893.574,395227684138.8621,417282900758.04297,455285818035.125,,world
7,7,7,Bahrain,Asia,2007,75.635,708573,29796.048339999998,BHR,48,GDP,Bahrain,BHR,4229787234.04255,9062898936.17021,25713271276.5957,28776622340.4255,30749335106.383,32539547872.3404,33387686170.2128,31125877659.5745,32250132978.7234,35432686170.2128,37746196808.5106,,world
8,8,8,Bangladesh,Asia,2007,64.062,150448339,1391.253792,BGD,50,GDP,Bangladesh,BGD,31598341233.559,53369787318.6245,115279077465.226,128637938711.386,133355749482.47801,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249723862487.36105,274024958965.892,,world
9,9,9,Belgium,Europe,2007,79.441,10392226,33692.60508,BEL,56,GDP,Belgium,BEL,205331747706.422,236204532891.1,480951629493.03296,522645519183.591,496181260258.3,521642714407.84296,534678075827.361,462149679343.822,476056833074.336,503004504395.42896,542761092103.469,,world
10,10,10,Benin,Africa,2007,56.728,8078314,1441.284873,BEN,204,GDP,Benin,BEN,1959965243.762689,2569186642.86999,6977040762.19148,7824320326.89328,8152088222.19998,9159958825.63987,9720362615.39829,8294490789.00164,8578984066.299741,9269594834.77931,10354274634.9108,,world
11,11,11,Bolivia,Americas,2007,65.554,9119152,3822.1370840000004,BOL,68,GDP,Bolivia,BOL,4867582620.20708,8397912509.09679,19649631450.6819,23963033588.0063,27084497539.7974,30659338784.3705,32996188133.1404,33000198263.3864,33941126193.9219,37508642257.5977,40287647756.8741,,world
12,12,12,Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803,BIH,70,GDP,Bosnia and Herzegovina,BIH,,5505887894.48893,17176781336.7644,18644723860.9709,17226849297.07,18178503835.4491,18558343508.3435,16211540686.1355,16913330693.9653,18080118128.3854,20161865419.4327,,world
13,13,13,Botswana,Africa,2007,50.728,1639131,12569.851770000001,BWA,72,GDP,Botswana,BWA,3790567051.8677797,5788329609.15755,12786654365.8738,15351972229.5341,16067155187.0375,14901750764.9811,16250750259.0212,14420604205.7459,15646316818.3319,17405538618.3969,18616018903.4434,,world
14,14,14,Brazil,Americas,2007,72.39,190010647,9065.800825,BRA,76,GDP,Brazil,BRA,461951782000.0,655420645476.906,2208871646202.82,2616200980392.16,2465188674415.03,2472806456101.29,2455994050148.75,1802214373741.32,1796275437087.99,2053594973992.61,1868626087908.48,,world
15,15,15,Bulgaria,Europe,2007,73.005,7322858,10680.79282,BGR,100,GDP,Bulgaria,BGR,20632090909.0909,13153016530.8718,50610058210.3696,57418414504.0882,53903022339.0276,55555171009.772,56814543481.2102,50201314894.5817,53240950226.2443,58220973782.7715,65132951116.4756,,world
16,16,16,Burkina Faso,Africa,2007,52.295,14326203,1217.032994,BFA,854,GDP,Burkina Faso,BFA,3101301780.95067,2628920056.1009803,8979966766.07232,10724063457.8326,11166063466.5623,11947176341.9966,12377391462.6377,10419303761.3524,10867024151.6053,12330338343.2865,14124775068.568996,,world
17,17,17,Burundi,Africa,2007,49.58,8390505,430.07069160000003,BDI,108,GDP,Burundi,BDI,1132101252.5181699,870486065.883137,2032135246.5000398,2235820867.8274302,2333308099.46249,2451625332.74584,2705783272.07443,3104394858.11518,2959640987.29943,3172292379.36329,3036931818.18182,,world
18,18,18,Cambodia,Asia,2007,59.723,14131858,1713.7786859999999,KHM,116,GDP,Cambodia,KHM,,3677897739.0762796,11242275198.9783,12829541141.0127,14054443213.4639,15227991395.2201,16702610842.4025,18049954289.4229,20159271964.9628,22180376505.7284,24542474061.2426,,world
