Date,Open,High,Low,Close,Adj Close,Volume,Vol2
02/01/2019,35.43,37.13,35.34,37.00,34.94,25581700,25.58
03/01/2019,36.75,37.61,36.45,37.61,35.52,21938600,21.94
04/01/2019,37.22,37.70,36.75,36.98,34.92,24873500,24.87
07/01/2019,36.79,37.50,36.75,37.04,34.99,16901100,16.90
08/01/2019,37.18,37.57,36.56,37.52,35.43,19556300,19.56
09/01/2019,37.90,38.09,37.58,38.09,35.97,20307500,20.31
10/01/2019,37.91,38.38,37.63,37.83,35.73,24741800,24.74
11/01/2019,37.59,37.93,37.29,37.59,35.51,13630100,13.63
14/01/2019,37.57,37.88,37.45,37.88,35.77,17397500,17.40
15/01/2019,37.68,37.74,36.88,37.29,35.22,41119800,41.12
16/01/2019,37.34,37.38,36.70,37.18,35.11,17304300,17.30
17/01/2019,37.04,37.34,36.74,37.18,35.11,25769600,25.77
18/01/2019,37.20,37.77,37.20,37.66,35.57,21326300,21.33
21/01/2019,37.50,37.63,37.04,37.34,35.27,7774500,7.77
22/01/2019,37.34,37.58,36.97,37.29,35.22,12187000,12.19
23/01/2019,37.45,37.68,36.95,37.54,35.45,27249900,27.25
24/01/2019,37.34,37.73,37.24,37.49,35.40,21283100,21.28
28/01/2019,37.07,38.34,37.07,38.16,36.04,22555600,22.56
29/01/2019,38.40,38.54,37.88,37.88,35.77,15826000,15.83
30/01/2019,38.22,38.41,37.40,38.11,36.00,19386900,19.39
31/01/2019,38.45,39.38,38.36,38.77,36.62,26940800,26.94
01/02/2019,38.59,39.09,38.34,38.81,36.67,13541300,13.54
04/02/2019,38.66,39.79,38.40,39.68,37.50,17686500,17.69
05/02/2019,38.56,38.79,37.61,38.00,35.90,71190500,71.19
06/02/2019,37.79,37.88,36.40,36.40,34.39,39177200,39.18
07/02/2019,36.82,37.08,36.06,36.52,34.51,30748900,30.75
08/02/2019,36.48,37.54,36.34,37.31,35.25,30844700,30.84
11/02/2019,37.31,37.41,36.59,36.88,34.85,18345900,18.35
12/02/2019,37.43,37.99,37.22,37.77,35.68,22164600,22.16
13/02/2019,37.91,37.97,36.84,36.91,34.87,31482600,31.48
14/02/2019,37.20,37.88,36.43,37.88,35.80,32890900,32.89
