Date;Open;High;Low;Close;Adj Close;Volume;vol2
02/01/2019;50.009.998;51.369.999;49.790.001;51.090.000;49.771.152;17319600;17,3196
03/01/2019;50.799.999;50.939.999;48.400.002;49.000.000;47.735.104;30120000;30,12
04/01/2019;49.820.000;52.450.001;49.820.000;52.189.999;50.842.758;43360100;43,3601
07/01/2019;52.869.999;53.650.002;51.720.001;51.910.000;50.569.984;20998900;20,9989
08/01/2019;52.200.001;52.799.999;51.619.999;52.410.000;51.057.079;19925600;19,9256
09/01/2019;53.160.000;54.060.001;52.830.002;53.689.999;52.304.035;27695500;27,6955
10/01/2019;53.230.000;53.290.001;52.270.000;53.099.998;51.729.267;18113600;18,1136
11/01/2019;53.259.998;53.459.999;52.380.001;52.380.001;51.027.855;12360400;12,3604
14/01/2019;51.980.000;52.700.001;51.430.000;52.599.998;51.242.172;14626300;14,6263
15/01/2019;52.849.998;53.200.001;51.869.999;52.349.998;50.998.627;14480300;14,4803
16/01/2019;52.400.002;52.820.000;52.200.001;52.650.002;51.290.886;15375100;15,3751
17/01/2019;52.439.999;54.709.999;52.270.000;54.230.000;52.830.097;25525500;25,5255
18/01/2019;54.950.001;55.599.998;54.250.000;54.759.998;53.346.413;25815900;25,8159
21/01/2019;54.849.998;55.349.998;54.389.999;55.279.999;53.852.993;10676600;10,6766
22/01/2019;54.480.000;55.080.002;54.349.998;55.080.002;53.658.157;17154300;17,1543
23/01/2019;55.459.999;55.900.002;55.330.002;55.650.002;54.213.444;13470400;13,4704
24/01/2019;55.799.999;56.200.001;55.500.000;56.150.002;54.700.535;14118200;14,1182
28/01/2019;45.000.000;45.000.000;42.360.001;42.360.001;41.266.514;183534500;183,5345
29/01/2019;43.270.000;44.689.999;42.599.998;42.740.002;41.636.703;68335900;68,3359
30/01/2019;46.250.000;46.799.999;44.980.000;46.599.998;45.397.057;67892500;67,8925
31/01/2019;46.990.002;47.439.999;45.500.000;45.500.000;44.325.455;39814600;39,8146
01/02/2019;45.720.001;46.330.002;45.580.002;46.250.000;45.056.095;21286700;21,2867
04/02/2019;46.000.000;46.099.998;44.049.999;44.680.000;43.526.623;35888900;35,8889
05/02/2019;44.450.001;45.209.999;43.810.001;44.520.000;43.370.754;21992300;21,9923
06/02/2019;44.000.000;44.400.002;42.459.999;42.459.999;41.363.930;29257400;29,2574
07/02/2019;42.150.002;42.790.001;41.209.999;41.590.000;40.516.388;31403200;31,4032
08/02/2019;40.639.999;43.590.000;40.509.998;43.160.000;42.045.860;48169600;48,1696
11/02/2019;43.860.001;44.049.999;41.889.999;42.020.000;40.935.287;30697300;30,6973
12/02/2019;42.500.000;44.330.002;42.049.999;44.299.999;43.156.433;36421200;36,4212
13/02/2019;44.310.001;45.990.002;44.299.999;45.490.002;44.315.716;38153200;38,1532
14/02/2019;45.389.999;45.939.999;45.049.999;45.660.000;44.481.323;24055400;24,0554
15/02/2019;45.400.002;46.020.000;45.189.999;45.880.001;44.695.648;27877700;27,8777
18/02/2019;45.790.001;46.150.002;44.900.002;45.250.000;44.081.909;18777400;18,7774
19/02/2019;45.500.000;45.939.999;45.230.000;45.490.002;44.315.716;20523500;20,5235
20/02/2019;45.900.002;46.080.002;44.939.999;45.799.999;44.617.710;25493000;25,493
21/02/2019;45.840.000;46.090.000;45.130.001;45.380.001;44.208.553;21401300;21,4013
22/02/2019;45.700.001;47.060.001;45.570.000;46.990.002;45.776.993;17580700;17,5807
25/02/2019;47.349.998;47.750.000;46.400.002;47.119.999;45.903.633;16801500;16,8015
26/02/2019;46.790.001;47.290.001;46.599.998;47.200.001;45.981.571;10362900;10,3629
27/02/2019;47.250.000;47.250.000;46.340.000;46.830.002;45.621.124;15004800;15,0048
28/02/2019;46.580.002;47.099.998;46.099.998;47.099.998;45.884.151;17877800;17,8778
01/03/2019;47.290.001;47.500.000;44.549.999;46.740.002;45.533.447;29872100;29,8721
06/03/2019;null;null;null;null;null;null;#VALOR!
07/03/2019;47.830.002;48.959.999;47.720.001;48.860.001;47.598.721;21112500;21,1125
08/03/2019;48.259.998;48.889.999;47.650.002;48.849.998;47.588.978;25446000;25,446
11/03/2019;48.900.002;49.950.001;48.610.001;49.880.001;48.592.388;20201600;20,2016
12/03/2019;49.799.999;50.330.002;49.549.999;49.970.001;48.680.065;15591300;15,5913
13/03/2019;49.939.999;51.000.000;49.700.001;50.700.001;49.391.224;21999200;21,9992
14/03/2019;50.799.999;50.930.000;50.200.001;50.709.999;49.400.963;17257400;17,2574
15/03/2019;50.799.999;51.240.002;50.400.002;50.549.999;49.245.094;26054400;26,0544
18/03/2019;50.250.000;50.669.998;49.830.002;50.459.999;49.157.417;23021400;23,0214
