UF;2010;2011;2012;2013;2014;2015;2016
RO;1082811;989643;857660;582306;773079;667350;600065
AC;70686;71376;72069;77624;81342;82070;81284
AM;111977;126623;113342;113518;110518;99128;97104
RR;19110;22707;28533;30151;32658;37927;37919
PA;763566;795268;766593;717419;742821;710463;732936
AM;8662;11295;12708;13124;13941;6846;6777
TO;526147;425443;437535;441927;467669;469663;528101
MA;574335;591945;611991;620125;623347;624946;591520
PI;157788;156232;148682;143583;139980;132385;129366
CE;538929;551729;576030;561325;580949;548158;534479
RN;257999;262489;217426;231162;257044;267127;247758
PB;239336;259283;186540;195873;213958;226649;222832
PE;576198;619919;431429;411969;470478;495688;488780
AL;149411;154893;152273;153591;161462;194776;192181
SE;220889;226927;226118;234365;235303;230573;218744
BA;2211683;2104008;1943015;2081959;2068800;1142801;880206
MG;5447005;5631067;5674293;5850737;5808524;5423676;4974449
ES;394511;408545;410760;423855;420530;381339;272908
RJ;414860;427418;429473;441483;421460;405706;415509
SP;1487963;1452770;1469829;1390485;1267432;1239101;1156899
PR;1550396;1588638;1615916;1715686;1725896;1641009;1621957
SC;979169;1021605;1078118;1132664;1107263;1110700;1116994
RS;1495518;1530014;1516689;1554909;1544072;1496671;1461315
MS;528011;530463;532061;529651;517385;334737;258919
MT;617585;633782;589971;557104;580254;603546;553100
GO;2479869;2615611;2692841;2723594;2638373;2518931;2237872
DF;20500;19500;11624;24348;23413;18950;18843
