date,vale5,petr4,itub4,petr3
08/10/2019,45.32,28.22,32.69,28.34
07/10/2019,46.04,28.4,32.83,28.63
04/10/2019,46.59,28.85,33.45,29.11
03/10/2019,45.44,29.12,33.29,29.02
02/10/2019,45.1,28.9,33.28,29.62
01/10/2019,47.71,29.98,34.22,30.16
30/09/2019,47.75,30.15,35.03,30.44
27/09/2019,47.66,30.42,35.53,30.3
26/09/2019,47.86,30.35,35.68,30.11
25/09/2019,47.86,30.1,34.68,29.95
24/09/2019,46.93,30.06,34.28,30.42
23/09/2019,48.1,30.45,34.64,30.18
20/09/2019,48.42,30.32,34.75,30.42
19/09/2019,48.32,30.24,34.66,30.7
18/09/2019,48.4,30.02,35.25,30.2
17/09/2019,48.9,30.52,35.36,30.59
16/09/2019,48.59,31,35.23,31.15
13/09/2019,49.79,29.66,35.87,29.91
12/09/2019,49.69,29.83,35.39,29.55
11/09/2019,47.95,29.47,35.17,30.2
10/09/2019,48.24,30,35.33,29.94
09/09/2019,47.89,29.77,36.03,29.49
06/09/2019,46.45,29.19,35.17,29.04
05/09/2019,46.52,29,34.03,29.02
04/09/2019,46.52,28.82,33.09,28.54
03/09/2019,45.52,28.11,32.86,27.66
02/09/2019,46.01,27.97,33.5,28.05
30/08/2019,45.57,28.27,33.94,28.17
29/08/2019,45.1,28.12,34.09,27.4
28/08/2019,43.48,27.1,33.91,26.8
27/08/2019,43.32,26.91,33.53,26.76
26/08/2019,42.8,26.41,33.14,26.89
23/08/2019,43.28,26.76,33.15,27.24
22/08/2019,43.89,27.63,33.54,28.01
21/08/2019,44.15,27.9,34.08,26.89
20/08/2019,43.84,26.49,33.82,26.76
19/08/2019,43.65,26.74,34.2,26.78
16/08/2019,43.69,26.38,34.35,27.01
15/08/2019,43.89,26.5,35,27.13
14/08/2019,44.88,27.1,35.1,27.5
13/08/2019,46.5,27.96,35.89,27.51
12/08/2019,45.16,27.85,35.2,28.31
09/08/2019,45.49,28.62,36.72,28.84
08/08/2019,47.18,28.87,37,28.77
07/08/2019,46.48,28.2,36.8,28.02
06/08/2019,46.62,28.47,35.49,28.41
05/08/2019,46,28,34.45,28.59
02/08/2019,47.84,29.21,34.93,29.19
01/08/2019,48.4,28.35,34.88,29.04
31/07/2019,49.81,28.79,34.82,29
30/07/2019,50.01,28.7,35.77,28.69
29/07/2019,50.26,28.89,37,28.54
26/07/2019,50.23,28.54,36.85,29.39
25/07/2019,50.49,29.46,36.2,30.11
24/07/2019,50.65,30,37.35,30.29
23/07/2019,51.76,30.25,37.38,30.14
22/07/2019,52.45,30.1,37.02,30.2
19/07/2019,52.72,30.06,36.4,30.09
18/07/2019,52.59,30.07,37.37,30.5
17/07/2019,52.69,30.4,36.4,30.71
16/07/2019,53.05,30.6,36.5,30.89
15/07/2019,52.69,30.97,36.36,31.61
12/07/2019,51.81,31.5,36.46,31.38
11/07/2019,52.05,31.3,37.15,30.83
10/07/2019,52.13,30.72,37.2,30.81
08/07/2019,50.95,30.61,37.3,30.08
05/07/2019,50.36,30.03,37.4,30.02
04/07/2019,51.67,30.16,36.99,30
03/07/2019,51.29,29.77,36.57,29.61
02/07/2019,51.39,29.47,35.95,29.86
01/07/2019,53.65,29.92,36.08,30.44
28/06/2019,51.82,30.02,36.26,30.11
27/06/2019,51.7,29.89,36.25,30.26
26/06/2019,51.58,30.55,36.5,30.31
25/06/2019,51.38,30.7,35.65,31.5
